Nombre científico;Subespecie;UTO;Número de catalogo;Colección;País;Estado;Localidad;Latitud decimal;Longitud decimal;Tipo de registro
Myiozetetes cayanensis;hellmayri;1;1352;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Venezuela;Táchira;San Cristobal;7,771213;-72,226289;Piel
Myiozetetes cayanensis;cayanensis;3;7188;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Maranhão;Miritiba;-2,616668;-43,450002;Piel
Myiozetetes cayanensis;hellmayri;1;13586;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Colombia;Cauca;San Antonio;3,032479;-76,513594;Piel
Myiozetetes cayanensis;hellmayri;1;13716;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Colombia;Tolima;Honda/Rio Magdalena;5,207129;-74,73639;Piel
Myiozetetes cayanensis;cayanensis;3;15535;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Goiás;Rio das Almas, Fazenda Manuel Peixoto;-15,103258;-49,405328;Piel
Myiozetetes cayanensis;cayanensis;3;15536;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Goiás;Inhumas, antigo Goiabeiras;-16,373117;-49,491677;Piel
Myiozetetes cayanensis;cayanensis;3;17204;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Mato Grosso;Cuiabá, Santo Antônio, Fazenda Maravilha;-15,86145;-56,076138;Piel
Myiozetetes cayanensis;cayanensis;3;17958;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Amazonas;Rio Amazonas (Norte), Itacoatiara;-3,134267;-58,574731;Piel
Myiozetetes cayanensis;cayanensis;3;17985;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Mato Grosso;Vale do Araguaia;-14,00197;-52,307231;Piel
Myiozetetes cayanensis;cayanensis;3;19789;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Amazonas;Rio Amazonas (Norte), Itacoatiara;-3,134267;-58,574731;Piel
Myiozetetes cayanensis;cayanensis;3;19797;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Amazonas;Rio Amazonas (Norte), Itacoatiara;-3,134267;-58,574731;Piel
Myiozetetes cayanensis;cayanensis;3;19804;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Amazonas;Rio Amazonas (Norte), Itacoatiara;-3,134267;-58,574731;Piel
Myiozetetes cayanensis;cayanensis;3;20219;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Amazonas;Rio Amazonas (Norte), Itacoatiara;-3,134267;-58,574731;Piel
Myiozetetes cayanensis;cayanensis;3;22649;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Amazonas (Norte), Igarapé Bravo;-1,235994;-53,097461;Piel
Myiozetetes cayanensis;cayanensis;3;22674;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Boca do rio Tapajós, Santarém;-2,429683;-54,822907;Piel
Myiozetetes cayanensis;erythropterus;4;25355;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Minas Gerais;São José da Lagôa, Fazenda Boa Esperança;-19,14704;-44,535456;Piel
Myiozetetes cayanensis;erythropterus;4;25356;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Minas Gerais;São José da Lagôa, Fazenda Boa Esperança;-19,14704;-44,535456;Piel
Myiozetetes cayanensis;erythropterus;4;25357;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Minas Gerais;São José da Lagôa, Fazenda Boa Esperança;-19,14704;-44,535456;Piel
Myiozetetes cayanensis;erythropterus;4;25358;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Minas Gerais;São José da Lagôa, Fazenda Boa Esperança;-19,14704;-44,535456;Piel
Myiozetetes cayanensis;erythropterus;4;25359;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Minas Gerais;Rio Doce, Baixo Rio Piracicaba (margem esquerda);-20,204504;-42,876961;Piel
Myiozetetes cayanensis;erythropterus;4;25360;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Minas Gerais;Rio Doce, Baixo Rio Piracicaba (margem esquerda);-20,204504;-42,876961;Piel
Myiozetetes cayanensis;erythropterus;4;25361;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Minas Gerais;Rio Doce, Baixo Rio Piracicaba (margem esquerda);-20,204504;-42,876961;Piel
Myiozetetes cayanensis;cayanensis;3;30290;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Mato Grosso do Sul;Corumbá;-19,010606;-57,65084;Piel
Myiozetetes cayanensis;cayanensis;3;30291;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Mato Grosso;Cuiabá;-15,600483;-56,095926;Piel
Myiozetetes cayanensis;cayanensis;3;32500;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Mato Grosso; Chavantina;-14,66504;-52,384392;Piel
Myiozetetes cayanensis;cayanensis;3;32715;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós, Aramanaí;-2,678354;-54,974773;Piel
Myiozetetes cayanensis;cayanensis;3;35218;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Mato Grosso;Rio das Mortes, São Domingos;-14,66302;-52,511103;Piel
Myiozetetes cayanensis;cayanensis;3;35219;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Mato Grosso;Molha Saco, Pindaíba São Domingos;-14,96454;-52,30278;Piel
Myiozetetes cayanensis;cayanensis;3;36256;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Utinga, arredores de Belém;-1,426068;-48,442564;Piel
Myiozetetes cayanensis;cayanensis;3;37789;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Utinga, arredores de Belém;-1,426068;-48,442564;Piel
Myiozetetes cayanensis;cayanensis;3;37790;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Murutucu, arredores de Belém;-1,443162;-48,418921;Piel
Myiozetetes cayanensis;cayanensis;3;38547;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Cachimbo;-8,927258;-54,905308;Piel
Myiozetetes cayanensis;cayanensis;3;45536;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Belém, Utinga;-1,426068;-48,442564;Piel
Myiozetetes cayanensis;cayanensis;3;47050;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós (leste) Fordlândia;-3,829163;-55,494504;Piel
Myiozetetes cayanensis;cayanensis;3;47051;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós (leste) Fordlândia;-3,829163;-55,494504;Piel
Myiozetetes cayanensis;cayanensis;3;52801;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Tocantins;Araguatins;-5,648427;-48,11944;Piel
Myiozetetes cayanensis;cayanensis;3;52802;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Tocantins;Araguatins;-5,648427;-48,11944;Piel
Myiozetetes cayanensis;cayanensis;3;52803;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Tocantins;Araguatins;-5,648427;-48,11944;Piel
Myiozetetes cayanensis;cayanensis;3;52804;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Tocantins;Araguatins;-5,648427;-48,11944;Piel
Myiozetetes cayanensis;cayanensis;3;54299;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;São Paulo;Rio Grande, Paulo de Faria;-20,030277;-49,400415;Piel
Myiozetetes cayanensis;cayanensis;3;56096;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Roraima;Rio Água Boa do Mucajaí , afluente ocidental do Rio Branco;2,005382;-61,182323;Piel
Myiozetetes cayanensis;cayanensis;3;58963;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós (leste) Fordlândia;-3,829163;-55,494504;Piel
Myiozetetes cayanensis;cayanensis;3;58964;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós (leste) Fordlândia;-3,829163;-55,494504;Piel
Myiozetetes cayanensis;cayanensis;3;58965;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós (leste) Fordlândia;-3,829163;-55,494504;Piel
Myiozetetes cayanensis;cayanensis;3;58968;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós (Oeste), Urucurituba;-3,792585;-55,521189;Piel
Myiozetetes cayanensis;cayanensis;3;58969;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós (leste) Fordlândia;-3,829163;-55,494504;Piel
Myiozetetes cayanensis;cayanensis;3;58970;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós (leste) Fordlândia;-3,829163;-55,494504;Piel
Myiozetetes cayanensis;cayanensis;3;58971;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós (leste) Fordlândia;-3,829163;-55,494504;Piel
Myiozetetes cayanensis;cayanensis;3;59594;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Belém do Pará;-1,455763;-48,490205;Piel
Myiozetetes cayanensis;cayanensis;3;60041;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Jacaré, Rio Trombetas;-1,366919;-56,841994;Piel
Myiozetetes cayanensis;cayanensis;3;60042;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Trombetas, Oriximina, Jacaré;-1,366919;-56,841994;Piel
Myiozetetes cayanensis;cayanensis;3;63075;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós (leste) Fordlândia;-3,829163;-55,494504;Piel
Myiozetetes cayanensis;cayanensis;3;65449;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Goiás;Goiania;-16,686891;-49,264794;Piel
Myiozetetes cayanensis;cayanensis;3;65450;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Goiás;Goiania;-16,686891;-49,264794;Piel
Myiozetetes cayanensis;cayanensis;3;65451;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Goiás;Hidrolândia;-16,965475;-49,231456;Piel
Myiozetetes cayanensis;cayanensis;3;65452;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Goiás;Hidrolândia;-16,965475;-49,231456;Piel
Myiozetetes cayanensis;cayanensis;3;66002;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Rondônia;Rio Anari, Pedra Branca;-10,041718;-62,11251;Piel
Myiozetetes cayanensis;cayanensis;3;66684;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tapajós, Fordlândia;-3,829163;-55,494504;Piel
Myiozetetes cayanensis;cayanensis;3;68722;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Goiás;Goiania;-16,686891;-49,264794;Piel
Myiozetetes cayanensis;cayanensis;3;68723;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Goiás;Inhumas;-16,373117;-49,491677;Piel
Myiozetetes cayanensis;cayanensis;3;69330;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Mato Grosso;Rio Suiá-Miçú;-11,710405;-52,582794;Piel
Myiozetetes cayanensis;cayanensis;3;70098;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Pará;Rio Tocantins, Itupiranga;-5,037753;-49,854727;Piel
Myiozetetes cayanensis;cayanensis;3;70100;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Goiás;Hidrolândia;-16,965475;-49,231456;Piel
Myiozetetes cayanensis;cayanensis;3;73413;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Roraima;Rio Branco (margem leste), oposto a Boa Vista, Fazenda Santa Cecília;2,220882;-60,581866;Piel
Myiozetetes cayanensis;cayanensis;3;73414;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Roraima;Rio Branco (margem leste), oposto a Boa Vista, Fazenda Santa Cecília;2,220882;-60,581866;Piel
Myiozetetes cayanensis;cayanensis;3;74124;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Goiás;Serra da Mesa, Colinas do Sul, Rio Tocantins(margem esquerda);-13,971729;-48,120575;Piel
Myiozetetes cayanensis;cayanensis;3;74534;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;São Paulo;Rio Paraná (margem esquerda), Alfredo de Castilho;-22,886272;-48,440606;Piel
Myiozetetes cayanensis;cayanensis;3;75739;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Tocantins;Fazenda Sapezal;-3,083333333;-48,41666667;Piel
Myiozetetes cayanensis;cayanensis;3;75740;Museu de Zoologia da Universidade de São Paulo (MZUSP). São Paulo, Brasil.;Brasil;Tocantins;Fazenda Sapezal;-3,083333333;-48,41666667;Piel
